value	from	to
0,62342293	Ямало-Ненецкий АО	Астраханская обл.
0,903318154	Ярославская обл.	Астраханская обл.
0,728797666	Адыгея	Башкортостан
0,50493054	Алтай	Башкортостан
0,874551091	Алтайский край	Башкортостан
0,834257068	Амурская обл.	Башкортостан
0,785672586	Архангельская обл.	Башкортостан
0,853071831	Астраханская обл.	Башкортостан
1	Башкортостан	Башкортостан
0,917533509	Белгородская обл.	Башкортостан
0,901881219	Брянская обл.	Башкортостан
0,721425328	Бурятия	Башкортостан
0,941930874	Владимирская обл.	Башкортостан
0,930622658	Волгоградская обл.	Башкортостан
0,91512701	Вологодская обл.	Башкортостан
0,941430103	Воронежская обл.	Башкортостан
0,643024773	Дагестан	Башкортостан
0,777367185	Еврейская АО	Башкортостан
0,83691416	Забайкальский край	Башкортостан
0,882118758	Ивановская обл.	Башкортостан
0,606982184	Ингушетия	Башкортостан
0,893916233	Иркутская обл.	Башкортостан
0,716742804	Кабардино-Балкария	Башкортостан
0,929923763	Калининградская обл.	Башкортостан
0,478251841	Калмыкия	Башкортостан
0,843814321	Калужская обл.	Башкортостан
0,604667801	Камчатский край	Башкортостан
0,502701479	Карачаево-Черкессия	Башкортостан
0,84580157	Карелия	Башкортостан
0,791587368	Кемеровская обл.	Башкортостан
0,777535973	Кировская обл.	Башкортостан
0,810144111	Коми	Башкортостан
0,804937661	Костромская обл.	Башкортостан
0,9458133	Краснодарский край	Башкортостан
0,843296555	Красноярский край	Башкортостан
0,869758321	Крым	Башкортостан
0,921201013	Курганская обл.	Башкортостан
0,930927817	Курская обл.	Башкортостан
0,937601064	Ленинградская обл.	Башкортостан
0,979649698	Липецкая обл.	Башкортостан
0,441845399	Магаданская обл.	Башкортостан
0,702211673	Марий Эл	Башкортостан
0,854764166	Мордовия	Башкортостан
0,450624113	Москва	Башкортостан
0,745679943	Московская обл.	Башкортостан
0,623698251	Мурманская обл.	Башкортостан
0,813660367	Ненецкий АО	Башкортостан
0,896347875	Нижегородская обл.	Башкортостан
0,865560011	Новгородская обл.	Башкортостан
0,884904729	Новосибирская обл.	Башкортостан
0,860425449	Омская обл.	Башкортостан
0,818072136	Оренбургская обл.	Башкортостан
0,867136027	Орловская обл.	Башкортостан
0,938042507	Пензенская обл.	Башкортостан
