from;to;value
Белгородская обл.;Башкортостан;0,577369493928012
Брянская обл.;Башкортостан;0,811315508911147
Бурятия;Башкортостан;0,324993033436265
Владимирская обл.;Башкортостан;0,758815126488821
Волгоградская обл.;Башкортостан;0,220087060699879
Вологодская обл.;Башкортостан;0,0227259675576179
Воронежская обл.;Башкортостан;0,0288963931671275
Дагестан;Башкортостан;0,627747077644394
Еврейская АО;Башкортостан;0,200147276371069
Забайкальский край;Башкортостан;0,462413551532952
Ивановская обл.;Башкортостан;0,571816108635389
Ингушетия;Башкортостан;0,521578690250106
Иркутская обл.;Башкортостан;-0,114660358186919
Кабардино-Балкария;Башкортостан;0,754748747754718
Калининградская обл.;Башкортостан;0,683737877054252
Калмыкия;Башкортостан;-0,219732542518761
Калужская обл.;Башкортостан;0,795633344058092
Камчатский край;Башкортостан;0,178709900290691
Карачаево-Черкессия;Башкортостан;0,280652379979202
Карелия;Башкортостан;-0,187742371262986
Кемеровская обл.;Башкортостан;-0,587020241033247
Кировская обл.;Башкортостан;-0,011413310324425
Коми;Башкортостан;-0,0941927545762802
Костромская обл.;Башкортостан;-0,302205366048663
Краснодарский край;Башкортостан;0,103981029594278
Красноярский край;Башкортостан;0,201281551948027
Крым;Башкортостан;-0,424134742802799
Курганская обл.;Башкортостан;-0,375968317680281
Курская обл.;Башкортостан;0,787659596936221
Ленинградская обл.;Башкортостан;0,727024287240114
Липецкая обл.;Башкортостан;0,81331581366315
Магаданская обл.;Башкортостан;-0,320336697948558
Марий Эл;Башкортостан;0,740542342021808
Мордовия;Башкортостан;0,211708315070475
Москва;Башкортостан;0,508188525023481
Московская обл.;Башкортостан;0,755388298603444
Мурманская обл.;Башкортостан;-0,337560643845226
Ненецкий АО;Башкортостан;-0,0513448996609149
Нижегородская обл.;Башкортостан;0,754937204074449
Новгородская обл.;Башкортостан;0,398455557092836
Новосибирская обл.;Башкортостан;0,220405633526115
Омская обл.;Башкортостан;-0,223083752209702
Оренбургская обл.;Башкортостан;-0,471319784413649
Орловская обл.;Башкортостан;0,563730862359698
Пензенская обл.;Башкортостан;0,532061314186269
Пермский край;Башкортостан;-0,167130829226895
Приморский край;Башкортостан;-0,366352389081158
Псковская обл.;Башкортостан;0,19706992605445
Ростовская обл.;Башкортостан;0,388672654403496
Рязанская обл.;Башкортостан;0,747429974963446
Самарская обл.;Башкортостан;0,433161765057639
Санкт-Петербург;Башкортостан;0,781318783648939
Саратовская обл.;Башкортостан;0,165643793011278
Саха (Якутия);Башкортостан;0,38123580747406
Сахалинская обл.;Башкортостан;-0,593622862731504
Свердловская обл.;Башкортостан;0,236009975464273
Севастополь;Башкортостан;-0,212154794521757
Северная Осетия;Башкортостан;0,638740603445652
Смоленская обл.;Башкортостан;0,721478279083156
Ставропольский край;Башкортостан;-0,299609402040583
Тамбовская обл.;Башкортостан;0,820069182685517
Татарстан;Башкортостан;0,627994098384066
Тверская обл.;Башкортостан;0,437764245108342
Томская обл.;Башкортостан;-0,284305938887861
Тульская обл.;Башкортостан;0,842903675812822
Тыва;Башкортостан;0,280087455293731
Тюменская обл.;Башкортостан;-0,423068368293684
Удмуртия;Башкортостан;-0,0933291678304967
Ульяновская обл.;Башкортостан;-0,00175101288661595
Хабаровский край;Башкортостан;-0,330164803745714
Хакасия;Башкортостан;0,128905224039056
ХМАО – Югра;Башкортостан;-0,117869469693191
Челябинская обл.;Башкортостан;0,0755411292922623
